============================================================
  Generated by:           Encounter(R) RTL Compiler v08.10-s222_1
  Generated on:           Feb 02 2018  11:01:31 PM
  Module:                 picorv32
  Technology library:     NangateOpenCellLibrary revision 1.0
  Operating conditions:   typical 
  Interconnect mode:      ple
  Area mode:              physical library
============================================================

                                       Leakage   Dynamic    Total   
             Design                   Power(uW) Power(uW) Power(uW) 
--------------------------------------------------------------------
picorv32                                220.891   985.660  1206.551 
                                                                    
                                       Leakage   Dynamic    Total   
              File                Row Power(uW) Power(uW) Power(uW) 
--------------------------------------------------------------------
                                   0      0.083     0.121     0.204 
../Test_Arch/picorv32/picorv32.v  356     0.019     3.557     3.576 
../Test_Arch/picorv32/picorv32.v  359     0.076     0.889     0.965 
../Test_Arch/picorv32/picorv32.v  362     0.016     0.142     0.158 
../Test_Arch/picorv32/picorv32.v  363     0.044     0.553     0.597 
../Test_Arch/picorv32/picorv32.v  365     0.468     8.480     8.948 
../Test_Arch/picorv32/picorv32.v  367     0.489     2.500     2.990 
../Test_Arch/picorv32/picorv32.v  386     2.154     9.318    11.472 
../Test_Arch/picorv32/picorv32.v  394     0.061     0.302     0.363 
../Test_Arch/picorv32/picorv32.v  395     0.245     2.425     2.670 
../Test_Arch/picorv32/picorv32.v  402     0.023     0.288     0.311 
../Test_Arch/picorv32/picorv32.v  403     0.398     1.728     2.126 
../Test_Arch/picorv32/picorv32.v  413     3.219    13.565    16.784 
../Test_Arch/picorv32/picorv32.v  548     3.675    18.680    22.355 
../Test_Arch/picorv32/picorv32.v  549     0.135     3.014     3.149 
../Test_Arch/picorv32/picorv32.v  552     0.007     0.051     0.058 
../Test_Arch/picorv32/picorv32.v  557     0.007     0.185     0.192 
../Test_Arch/picorv32/picorv32.v  559     0.033     0.151     0.184 
../Test_Arch/picorv32/picorv32.v  564     0.597     1.876     2.473 
../Test_Arch/picorv32/picorv32.v  566     0.093     2.389     2.482 
../Test_Arch/picorv32/picorv32.v  568     0.010     1.684     1.693 
../Test_Arch/picorv32/picorv32.v  572     0.079     0.402     0.481 
../Test_Arch/picorv32/picorv32.v  600     0.037     0.484     0.521 
../Test_Arch/picorv32/picorv32.v  661     0.111     0.021     0.131 
../Test_Arch/picorv32/picorv32.v  670     0.010     0.000     0.010 
../Test_Arch/picorv32/picorv32.v  686     0.199     0.000     0.199 
../Test_Arch/picorv32/picorv32.v  687     0.352     0.000     0.352 
../Test_Arch/picorv32/picorv32.v  688     0.382     0.000     0.382 
../Test_Arch/picorv32/picorv32.v  689     0.444     0.000     0.444 
../Test_Arch/picorv32/picorv32.v  691     0.444     0.000     0.444 
../Test_Arch/picorv32/picorv32.v  692     0.459     0.000     0.459 
../Test_Arch/picorv32/picorv32.v  693     0.459     0.000     0.459 
../Test_Arch/picorv32/picorv32.v  694     0.459     0.000     0.459 
../Test_Arch/picorv32/picorv32.v  695     0.459     0.000     0.459 
../Test_Arch/picorv32/picorv32.v  696     0.459     0.000     0.459 
../Test_Arch/picorv32/picorv32.v  698     0.459     0.000     0.459 
../Test_Arch/picorv32/picorv32.v  699     0.459     0.000     0.459 
../Test_Arch/picorv32/picorv32.v  700     0.459     0.000     0.459 
../Test_Arch/picorv32/picorv32.v  701     0.459     0.000     0.459 
../Test_Arch/picorv32/picorv32.v  702     0.459     0.000     0.459 
../Test_Arch/picorv32/picorv32.v  703     0.459     0.000     0.459 
../Test_Arch/picorv32/picorv32.v  704     0.459     0.000     0.459 
../Test_Arch/picorv32/picorv32.v  705     0.459     0.000     0.459 
../Test_Arch/picorv32/picorv32.v  707     0.459     0.000     0.459 
../Test_Arch/picorv32/picorv32.v  708     0.459     0.000     0.459 
../Test_Arch/picorv32/picorv32.v  709     0.505     0.000     0.505 
../Test_Arch/picorv32/picorv32.v  710     0.505     0.000     0.505 
../Test_Arch/picorv32/picorv32.v  711     0.505     0.000     0.505 
../Test_Arch/picorv32/picorv32.v  712     0.505     0.099     0.603 
../Test_Arch/picorv32/picorv32.v  713     0.505     0.073     0.578 
../Test_Arch/picorv32/picorv32.v  714     0.505     0.073     0.578 
../Test_Arch/picorv32/picorv32.v  715     0.505     0.073     0.578 
../Test_Arch/picorv32/picorv32.v  717     0.505     0.073     0.578 
../Test_Arch/picorv32/picorv32.v  718     0.505     0.073     0.578 
../Test_Arch/picorv32/picorv32.v  719     0.505     0.073     0.578 
../Test_Arch/picorv32/picorv32.v  720     0.505     0.073     0.578 
../Test_Arch/picorv32/picorv32.v  721     0.505     0.073     0.578 
../Test_Arch/picorv32/picorv32.v  722     0.505     0.073     0.578 
../Test_Arch/picorv32/picorv32.v  723     0.505     0.073     0.578 
../Test_Arch/picorv32/picorv32.v  724     0.505     0.073     0.578 
../Test_Arch/picorv32/picorv32.v  725     0.505     0.073     0.578 
../Test_Arch/picorv32/picorv32.v  726     0.505     0.073     0.578 
../Test_Arch/picorv32/picorv32.v  728     0.612     0.073     0.685 
../Test_Arch/picorv32/picorv32.v  729     0.734     0.073     0.807 
../Test_Arch/picorv32/picorv32.v  730     0.734     0.073     0.807 
../Test_Arch/picorv32/picorv32.v  731     0.765     0.073     0.838 
../Test_Arch/picorv32/picorv32.v  733     0.765     0.073     0.838 
../Test_Arch/picorv32/picorv32.v  734     0.765     0.073     0.838 
../Test_Arch/picorv32/picorv32.v  735     0.780     0.073     0.853 
../Test_Arch/picorv32/picorv32.v  736     0.811     0.073     0.884 
../Test_Arch/picorv32/picorv32.v  737     0.811     0.073     0.884 
../Test_Arch/picorv32/picorv32.v  738     0.811     0.103     0.913 
../Test_Arch/picorv32/picorv32.v  759    14.436    68.806    83.242 
../Test_Arch/picorv32/picorv32.v  776     0.253     0.259     0.512 
../Test_Arch/picorv32/picorv32.v  798     2.187    19.492    21.679 
../Test_Arch/picorv32/picorv32.v  799     2.187     0.812     2.999 
../Test_Arch/picorv32/picorv32.v  808     0.258     0.289     0.547 
../Test_Arch/picorv32/picorv32.v  839     8.702    29.112    37.813 
../Test_Arch/picorv32/picorv32.v  840     0.008     0.000     0.008 
../Test_Arch/picorv32/picorv32.v  841     0.020     0.023     0.043 
../Test_Arch/picorv32/picorv32.v  842     0.008     0.000     0.008 
../Test_Arch/picorv32/picorv32.v  843     0.008     0.000     0.008 
../Test_Arch/picorv32/picorv32.v  844     0.008     0.000     0.008 
../Test_Arch/picorv32/picorv32.v  845     0.014     0.000     0.014 
../Test_Arch/picorv32/picorv32.v  847     0.008     1.712     1.720 
../Test_Arch/picorv32/picorv32.v  848     0.518     2.655     3.173 
../Test_Arch/picorv32/picorv32.v  849     0.518     2.627     3.144 
../Test_Arch/picorv32/picorv32.v  850     0.515     2.548     3.063 
../Test_Arch/picorv32/picorv32.v  851     0.918     3.953     4.872 
../Test_Arch/picorv32/picorv32.v  855     0.521     2.674     3.194 
../Test_Arch/picorv32/picorv32.v  856     0.513     2.558     3.072 
../Test_Arch/picorv32/picorv32.v  857     0.524     2.705     3.228 
../Test_Arch/picorv32/picorv32.v  858     0.520     2.665     3.185 
../Test_Arch/picorv32/picorv32.v  859     0.521     2.697     3.218 
../Test_Arch/picorv32/picorv32.v 1018     0.042     0.447     0.489 
../Test_Arch/picorv32/picorv32.v 1021     0.008     0.001     0.009 
../Test_Arch/picorv32/picorv32.v 1022     0.008     0.000     0.008 
../Test_Arch/picorv32/picorv32.v 1023     0.008     0.001     0.009 
../Test_Arch/picorv32/picorv32.v 1024     0.008     0.000     0.008 
../Test_Arch/picorv32/picorv32.v 1025     0.008     0.000     0.008 
../Test_Arch/picorv32/picorv32.v 1026     0.172     0.635     0.806 
../Test_Arch/picorv32/picorv32.v 1028     0.008     0.006     0.014 
../Test_Arch/picorv32/picorv32.v 1029     0.074     0.205     0.278 
../Test_Arch/picorv32/picorv32.v 1030     0.008     0.002     0.010 
../Test_Arch/picorv32/picorv32.v 1031     0.008     0.009     0.017 
../Test_Arch/picorv32/picorv32.v 1032     0.008     0.002     0.010 
../Test_Arch/picorv32/picorv32.v 1034     0.008     0.001     0.009 
../Test_Arch/picorv32/picorv32.v 1035     0.008     0.000     0.008 
../Test_Arch/picorv32/picorv32.v 1036     0.008     0.000     0.008 
../Test_Arch/picorv32/picorv32.v 1038     0.023     0.031     0.054 
../Test_Arch/picorv32/picorv32.v 1039     0.077     0.203     0.280 
../Test_Arch/picorv32/picorv32.v 1040     0.008     0.000     0.008 
../Test_Arch/picorv32/picorv32.v 1041     0.008     0.001     0.009 
../Test_Arch/picorv32/picorv32.v 1042     0.008     0.000     0.008 
../Test_Arch/picorv32/picorv32.v 1043     0.008     0.000     0.008 
../Test_Arch/picorv32/picorv32.v 1045     0.016     0.000     0.017 
../Test_Arch/picorv32/picorv32.v 1046     0.016     0.000     0.017 
../Test_Arch/picorv32/picorv32.v 1047     0.016     0.000     0.016 
